V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
Casual,Low,4.4,free,winter,halter,sleevless,natural,NaN,NaN,draped,NaN,2
party,high,4.5,M,winter,o-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,NaN,NaN,NaN,NaN,1
Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,NaN,1
vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,NaN,NaN,NaN,NaN,1
vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,NaN,NaN,NaN,1
work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,NaN,1
Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,NaN,NaN,1
Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,NaN,NaN,NaN,1
Sexy,low,4.7,free,Spring,v-neck,sleeveless,NaN,NaN,NaN,sequined,NaN,2
Casual,Average,NaN,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,NaN,NaN,1
Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,1
Novelty,Average,NaN,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,1
Casual,Low,4.3,free,Summer,backless,sleevless,empire,chiffonfabric,chiffon,crystal,NaN,1
Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,NaN,NaN,NaN,1
Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,NaN,2
Sexy,low,5,free,Spring,v-neck,sleevless,empire,NaN,chiffon,NaN,NaN,1
cute,Low,NaN,free,Winter,o-neck,sleevless,natural,NaN,chiffon,NaN,NaN,1
vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,NaN,NaN,2
bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,NaN,solid,1
bohemian,Average,NaN,free,Spring,o-neck,sleevless,natural,rayon,chiffon,NaN,striped,2
Sexy,Average,4.5,M,Summer,bowneck,sleevless,NaN,cotton,chiffon,NaN,solid,1
Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,2
Casual,Low,5,free,Spring,v-neck,full,natural,cotton,NaN,NaN,solid,2
Casual,Average,5,L,Winter,o-neck,thressqatar,natural,polyster,NaN,applique,solid,1
Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,NaN,NaN,print,1
bohemian,Low,5,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,2
Casual,low,5,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,1
Casual,Low,5,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,NaN,solid,2
cute,Average,4.3,M,Summer,NaN,NaN,natural,cotton,chiffon,NaN,solid,1
Novelty,Average,NaN,free,winter,o-neck,short,natural,polyster,broadcloth,lace,NaN,2
cute,low,NaN,L,Spring,o-neck,sleevless,empire,NaN,NaN,NaN,NaN,2
Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,NaN,lace,solid,1
Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,NaN,NaN,solid,1
Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,1
Casual,Low,4.7,S,Summer,o-neck,full,natural,cotton,NaN,NaN,patchwork,1
Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,NaN,sashes,print,1
work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,1
cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,NaN,hollowout,solid,2
Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,1
Casual,Low,4.7,M,Winter,o-neck,full,empire,polyster,chiffon,NaN,print,2
Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,1
Sexy,Low,4.8,L,Summer,o-neck,sleevless,natural,cotton,NaN,NaN,solid,2
Casual,Average,4.3,M,Spring,o-neck,halfsleeve,NaN,NaN,NaN,NaN,NaN,2
Casual,Average,4.7,XL,winter,v-neck,short,empire,milksilk,NaN,NaN,print,1
Casual,Low,NaN,L,winter,v-neck,full,NaN,NaN,NaN,NaN,solid,1
Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,NaN,rivet,solid,1
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,NaN,NaN,NaN,NaN,2
Casual,high,NaN,L,winter,v-neck,full,NaN,polyster,NaN,NaN,solid,1
Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,1
Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,NaN,sashes,solid,1
Casual,Average,NaN,free,Winter,v-neck,full,NaN,cashmere,NaN,NaN,solid,2
Casual,low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,NaN,print,2
Casual,Average,4.7,M,Summer,o-neck,thressqatar,NaN,chiffonfabric,chiffon,ruched,solid,1
Sexy,low,4.5,free,Summer,slash-neck,sleevless,NaN,polyster,Corduroy,NaN,NaN,1
vintage,low,4,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,1
Sexy,low,4.7,free,Summer,v-neck,sleevless,NaN,NaN,NaN,NaN,NaN,1
bohemian,low,5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,2
Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,NaN,lace,solid,1
Sexy,Average,4.5,S,Winter,v-neck,sleevless,NaN,polyster,NaN,NaN,NaN,1
cute,Average,4.7,M,Summer,o-neck,sleevless,natural,chiffonfabric,NaN,sashes,splice,1
vintage,Low,NaN,free,Summer,o-neck,sleevless,natural,cotton,batik,NaN,print,2
Casual,Average,4.1,L,winter,o-neck,sleevless,natural,polyster,NaN,NaN,NaN,2
Casual,Average,4.2,M,winter,v-neck,full,empire,polyster,NaN,lace,patchwork,2
Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,NaN,solid,1
Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,NaN,NaN,NaN,solid,1
Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,1
Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,NaN,patchwork,1
vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,NaN,beading,print,1
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
Sexy,Low,4.7,M,Winter,v-neck,sleevless,natural,polyster,NaN,NaN,striped,1
Casual,Average,5,s,Spring,turndowncollor,full,empire,cotton,worsted,NaN,solid,1
Casual,Low,1,M,Spring,o-neck,halfsleeve,NaN,NaN,chiffon,NaN,NaN,1
Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,NaN,lace,NaN,2
Casual,Low,4,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,1
work,Average,4.7,M,Spring,v-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,NaN,solid,2
Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,NaN,print,1
Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,NaN,chiffon,NaN,striped,2
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,NaN,applique,solid,1
Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,1
cute,Average,4.6,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print,1
Casual,Low,4.6,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,NaN,leapord,2
Casual,Low,4.7,L,Summer,NaN,sleevless,NaN,cotton,NaN,NaN,solid,2
Sexy,Low,NaN,L,Summer,o-neck,sleevless,empire,sill,NaN,NaN,striped,1
bohemian,Average,4,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped,1
Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,NaN,NaN,solid,2
work,Average,NaN,M,Summer,v-neck,sleevless,natural,cotton,worsted,NaN,solid,2
bohemian,Average,4.1,free,Summer,o-neck,thressqatar,NaN,NaN,NaN,hollowout,NaN,1
Casual,Average,NaN,M,Spring,o-neck,halfsleeve,natural,NaN,NaN,lace,NaN,1
Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,NaN,NaN,animal,1
cute,Low,NaN,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,NaN,NaN,2
Casual,Average,5,M,Spring,o-neck,thressqatar,NaN,spandex,NaN,NaN,NaN,1
Casual,Low,5,free,winter,o-neck,full,natural,wool,NaN,applique,solid,1
vintage,Average,4.5,L,winter,o-neck,short,empire,NaN,NaN,sequined,patchwork,2
Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,NaN,NaN,solid,1
bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,NaN,NaN,dot,1
Casual,high,NaN,L,winter,v-neck,thressqatar,natural,polyster,NaN,ruffles,solid,2
Casual,Average,4.8,free,winter,o-neck,sleevless,NaN,polyster,NaN,sashes,solid,1
Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,NaN,NaN,patchwork,1
Casual,Medium,NaN,free,Winter,bowneck,full,NaN,cashmere,knitted,NaN,solid,2
Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,NaN,animal,1
party,Average,NaN,M,Summer,o-neck,full,natural,cotton,NaN,NaN,patchwork,2
bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,NaN,NaN,solid,1
Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,NaN,sashes,print,1
Casual,Average,3,M,Spring,turndowncollor,short,empire,polyster,NaN,sashes,patchwork,1
Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,NaN,patchwork,2
Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,NaN,plain,solid,1
Casual,Average,NaN,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,2
Casual,Low,5,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid,2
vintage,Average,NaN,L,Summer,sqare-collor,short,empire,cotton,chiffon,NaN,dot,2
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,NaN,NaN,animal,1
vintage,Average,5,M,Summer,v-neck,thressqatar,natural,polyster,NaN,NaN,print,1
Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,2
bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,1
party,Average,4.8,M,Summer,o-neck,full,NaN,cotton,NaN,NaN,solid,2
bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
party,very-high,4.6,free,Summer,o-neck,sleevless,empire,rayon,NaN,hollowout,solid,1
cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,2
vintage,Average,NaN,M,Spring,o-neck,halfsleeve,empire,polyster,NaN,lace,animal,1
Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,1
Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,NaN,striped,2
Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,NaN,ruffles,patchwork,1
bohemian,Low,5,XL,Spring,v-neck,thressqatar,natural,NaN,shiffon,NaN,print,2
Casual,Average,4.7,M,Summer,o-neck,sleevless,NaN,cotton,NaN,NaN,dot,1
Casual,Average,NaN,free,Summer,bowneck,halfsleeve,NaN,cotton,NaN,NaN,NaN,1
Casual,Average,NaN,free,Summer,o-neck,sleevless,natural,cotton,NaN,lace,floral,1
Sexy,Medium,NaN,free,winter,o-neck,sleevless,natural,polyster,NaN,sequined,solid,1
Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,1
Sexy,Average,NaN,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,2
Brief,Average,4.9,XL,Spring,slash-neck,full,natural,NaN,NaN,sashes,solid,1
Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,NaN,broadcloth,NaN,print,2
Casual,Average,NaN,free,Automn,v-neck,full,natural,cotton,NaN,lace,solid,1
Casual,Average,4.8,M,Summer,v-neck,full,natural,NaN,shiffon,NaN,NaN,1
Casual,Medium,4.9,L,Spring,sqare-collor,sleevless,empire,NaN,NaN,NaN,print,1
party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,NaN,shiffon,NaN,patchwork,1
Sexy,low,4.4,free,Summer,bowneck,sleevless,natural,viscos,NaN,bow,solid,1
bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,NaN,NaN,patchwork,2
Casual,Low,4.6,free,Autumn,o-neck,full,natural,rayon,NaN,lace,solid,2
Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,NaN,sashes,solid,2
Sexy,Low,NaN,free,winter,v-neck,NaN,dropped,cotton,NaN,lace,NaN,2
Casual,Average,NaN,XL,Spring,bowneck,sleevless,natural,mix,NaN,lace,solid,1
Sexy,Average,NaN,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,1
Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,NaN,NaN,NaN,striped,2
Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,NaN,shiffon,sequined,solid,1
Sexy,high,5,M,Summer,v-neck,sleevless,natural,mix,NaN,NaN,striped,1
Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,NaN,NaN,patchwork,1
cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,NaN,NaN,bow,patchwork,2
Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,1
Casual,Low,4.3,free,Spring,o-neck,full,NaN,NaN,chiffon,sashes,none,2
Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,NaN,NaN,solid,1
Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,NaN,NaN,sashes,solid,1
cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,2
Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,NaN,NaN,solid,1
party,Average,NaN,M,Spring,o-neck,sleevless,NaN,NaN,chiffon,NaN,solid,2
Sexy,Low,NaN,free,Summer,v-neck,sleevless,dropped,NaN,NaN,NaN,NaN,2
Casual,Low,4.8,L,Summer,v-neck,thressqatar,natural,cotton,NaN,NaN,print,1
work,Average,5,M,Summer,o-neck,sleveless,natural,NaN,NaN,NaN,solid,2
Novelty,Average,5,free,Summer,o-neck,sleeveless,natural,NaN,NaN,NaN,print,1
Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,1
Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,NaN,lace,solid,1
Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,NaN,dobby,lace,animal,2
Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,2
cute,Low,NaN,M,Summer,boat-neck,short,NaN,NaN,chiffon,sashes,NaN,1
party,Average,4.9,M,winter,o-neck,halfsleeve,NaN,cotton,NaN,lace,NaN,2
Casual,Average,4.8,M,Summer,o-neck,halfsleeve,NaN,NaN,NaN,NaN,NaN,1
Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,NaN,solid,1
Casual,Average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,NaN,sashes,solid,1
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,1
Sexy,Average,NaN,S,Summer,v-neck,sleevless,NaN,NaN,NaN,NaN,NaN,2
Casual,Low,4.4,free,Summer,o-neck,sleevless,NaN,NaN,NaN,NaN,animal,1
cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,2
work,Average,4.8,M,winter,turndowncollor,full,natural,NaN,NaN,NaN,solid,1
Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,NaN,lace,solid,1
Sexy,Low,NaN,free,Summer,v-neck,sleevless,empire,cotton,NaN,NaN,solid,1
Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,NaN,sequined,solid,1
Sexy,Low,NaN,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,1
cute,Average,5,M,Autumn,v-neck,sleevless,natural,cotton,NaN,NaN,solid,1
cute,Low,NaN,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,2
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,NaN,pockets,solid,1
Casual,Average,NaN,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,1
cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,2
Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,2
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,NaN,NaN,solid,2
Casual,Low,5,M,Automn,o-neck,sleevless,empire,NaN,chiffon,NaN,print,2
Casual,Average,NaN,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,1
Sexy,Average,NaN,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,1
cute,Average,NaN,L,Summer,o-neck,sleevless,empire,cotton,NaN,lace,solid,2
Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,1
Casual,Average,5,L,Summer,o-neck,sleevless,natural,cotton,NaN,NaN,NaN,2
cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,NaN,NaN,1
bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,2
Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,NaN,striped,1
Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,NaN,NaN,solid,2
Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,NaN,NaN,NaN,1
Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,NaN,lace,solid,2
Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,2
Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,1
